RESUMER ZONES HYDROTEL VERSION;4.1.4.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE; ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
195;SOUS-BASSIN;275.948547;0.107772;6;4374;10.935000;-71.82019;45.97179
196;SOUS-BASSIN;227.700165;0.104656;3;627;1.567500;-71.81566;45.94520
197;SOUS-BASSIN;281.436890;0.137100;6;1355;3.387500;-71.80562;45.95848
198;SOUS-BASSIN;237.893112;0.093385;2;1235;3.087500;-71.80648;45.93416
199;SOUS-BASSIN;262.116333;0.090171;6;1917;4.792500;-71.78862;45.94674
200;SOUS-BASSIN;269.469025;0.084199;5;710;1.775000;-71.77286;45.93468
201;SOUS-BASSIN;240.582413;0.108970;7;364;0.910000;-71.77806;45.93885
202;SOUS-BASSIN;398.391998;0.110042;6;6337;15.842500;-71.75278;45.97551
203;SOUS-BASSIN;312.313141;0.072912;1;495;1.237500;-71.77743;45.95568
204;SOUS-BASSIN;398.667999;0.093278;7;2262;5.655000;-71.77863;45.98059
205;SOUS-BASSIN;292.931885;0.067114;3;323;0.807500;-71.75605;45.93776
206;SOUS-BASSIN;324.524750;0.138419;6;707;1.767500;-71.75105;45.94555
207;SOUS-BASSIN;435.797791;0.140109;5;1350;3.375000;-71.72903;45.94993
208;SOUS-BASSIN;409.463593;0.144485;7;673;1.682500;-71.73966;45.95125
209;SOUS-BASSIN;385.740753;0.107994;7;27;0.067500;-71.73501;45.95017
210;SOUS-BASSIN;293.464447;0.042390;2;211;0.527500;-71.74945;45.93192
211;SOUS-BASSIN;322.324127;0.103762;5;290;0.725000;-71.73671;45.93481
212;SOUS-BASSIN;370.129639;0.139660;5;108;0.270000;-71.73074;45.93310
213;SOUS-BASSIN;191.000000;0.082994;1;85;0.212500;-71.79168;45.92606
214;SOUS-BASSIN;243.005081;0.080431;5;590;1.475000;-71.77905;45.92656
215;SOUS-BASSIN;226.000000;0.079375;8;50;0.125000;-71.79886;45.92500
216;SOUS-BASSIN;245.853333;0.071705;2;150;0.375000;-71.79920;45.91965
217;SOUS-BASSIN;278.299072;0.055349;1;428;1.070000;-71.80827;45.92163
218;SOUS-BASSIN;239.720810;0.110543;2;1225;3.062500;-71.78870;45.91019
219;SOUS-BASSIN;249.046616;0.062201;6;2317;5.792500;-71.76525;45.91886
220;SOUS-BASSIN;307.114136;0.108811;3;3329;8.322500;-71.74999;45.88997
221;SOUS-BASSIN;264.109467;0.080162;6;2713;6.782500;-71.73903;45.91606
222;SOUS-BASSIN;332.019379;0.094004;5;826;2.065000;-71.70483;45.91712
223;SOUS-BASSIN;402.245972;0.095372;7;6814;17.035000;-71.70734;45.95025
224;SOUS-BASSIN;395.914917;0.052680;6;1046;2.615000;-71.69226;45.93345
225;SOUS-BASSIN;317.029327;0.163553;3;1875;4.687500;-71.71795;45.88934
226;SOUS-BASSIN;263.784729;0.095493;6;1900;4.750000;-71.70391;45.90199
227;SOUS-BASSIN;237.618500;0.078811;5;173;0.432500;-71.68546;45.88808
228;SOUS-BASSIN;228.590240;0.077348;7;205;0.512500;-71.69110;45.89143
229;SOUS-BASSIN;335.827637;0.104378;5;557;1.392500;-71.68109;45.90580
230;SOUS-BASSIN;357.534485;0.076570;7;1145;2.862500;-71.68386;45.91502
231;SOUS-BASSIN;381.474487;0.085373;5;196;0.490000;-71.67736;45.91333
232;SOUS-BASSIN;258.762543;0.123027;4;299;0.747500;-71.67221;45.89247
233;SOUS-BASSIN;299.086060;0.135280;7;825;2.062500;-71.67266;45.90017
234;SOUS-BASSIN;392.824036;0.090551;6;2978;7.445000;-71.64456;45.92201
