Installation de production Saint-Cyrille-de-Wendover;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Annee:2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Numero de l'intervenant;Nom de l'intervenant;Numero sequentiel du lieu de la declaration;Annee;Mois;Nbr annuel de jours de prelevement;Volume annuel preleve (l);Volume moyen quotidien (l);Nombre de jour de prelevement;Volume dedie par lieu par scian;Volume total mensuel;Source du prelevement (description);Numero sequentiel d'utilisation de la declaration;Numero sequentiel du site de prelevement;Nom legal du lieu ou personne physique;Code scian par lieu par mois (code);Code scian par lieu par mois (description);Code scian par lieu par mois (groupe);Latitude DD Nad83 (site);Longitude DD Nad83 (site);Volume consomme par lieu par scian
15926173;Municipalite de Lambton;28484;2018;3;365;14553000;45970;31;1020800;1020800;Souterrain;265280;41037;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8322;-71.0753;1020800
15926173;Municipalite de Lambton;28484;2018;3;365;20464900;68393.55;31;1377700;1377700;Souterrain;265281;41036;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.83;-71.075;1377700
15926173;Municipalite de Lambton;28484;2018;3;365;43689400;143733.33;31;3008800;3008800;Souterrain;265282;41040;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8372;-71.079;3008800
15926173;Municipalite de Lambton;28484;2018;3;365;32427900;107610;31;2276500;2276500;Souterrain;265283;41039;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8368;-71.0802;2276500
Y2008344;Ville de Warwick;28510;2018;5;365;635447000;2138516.13;31;62737000;62737000;Souterrain;283661;41087;Station de purification Warwick (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.9547421;-72.0058644;9410550
13429824;Ville de Perce;30766;2018;9;365;136092000;567741.94;30;13928000;13928000;Souterrain;293691;44138;Poste d'eau potable - Perce;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.49323611;-64.31054722;NULL
Y2007895;Municipalite de Rougemont;30940;2018;1;349;92830720;322346.67;31;7320000;7320000;Souterrain;294524;44469;Station de purification Rougemont (Puits Bessette);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.44483123;-73.03266489;NULL
Y2007895;Municipalite de Rougemont;30940;2018;2;349;92830720;322346.67;28;8240000;8240000;Souterrain;294525;44469;Station de purification Rougemont (Puits Bessette);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.44483123;-73.03266489;NULL
Y2096455;Societe des loteries du Quebec;30945;2018;5;143;36200000;253166.67;6;1519000;1519000;Surface;294618;44477;Casino de Hull;713210;Casinos (sauf hotels-casinos);71321 ;45.451642;-75.723095;1519000
Y2096455;Societe des loteries du Quebec;30945;2018;6;143;36200000;253166.67;30;7594000;7594000;Surface;294619;44477;Casino de Hull;713210;Casinos (sauf hotels-casinos);71321 ;45.451642;-75.723095;7594000
Y2096455;Societe des loteries du Quebec;30945;2018;7;143;36200000;253166.67;31;7848000;7848000;Surface;294620;44477;Casino de Hull;713210;Casinos (sauf hotels-casinos);71321 ;45.451642;-75.723095;7848000
21976253;Municipalite de Saint-Rene-de-Matane;30698;2018;12;365;28257000;85225.81;31;2516000;2516000;Souterrain;296111;44068;Systeme d'approvisionnement sans traitement Saint-Rene-de-Matane;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.70452;-67.38554;NULL
13436134;Municipalite de Longue-Pointe-de-Mingan;31440;2018;1;18;39859000;3686000;2;4385000;4385000;Souterrain;297138;45134;Station de purification (Longue-Pointe-de-Mingan);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;50.28467736;-64.151705;NULL
13433479;Ville de Maniwaki;31530;2018;10;320;428277000;1559000;21;17465000;17465000;Souterrain;298195;45288;Station de purification Maniwaki (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.3818055;-75.95286;0
13433479;Ville de Maniwaki;31530;2018;11;320;428277000;1559000;12;6009000;6009000;Souterrain;298196;45288;Station de purification Maniwaki (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.3818055;-75.95286;0
13433479;Ville de Maniwaki;31530;2018;12;320;428277000;1559000;14;6843000;6843000;Souterrain;298197;45288;Station de purification Maniwaki (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;46.3818055;-75.95286;0
