No_Simulation,KGE,bv3c_C1,bv3c_C2,bv3c_C3,bv3c_CR,djm_SFF,djm_SFC,djm_SFO,djm_TFF,djm_TFC,djm_TFO,ETP,THI,Conductivite,Manning_riviere
55,0.85225,0.087467,0.1,10,2.4177e-09,0.90714,1.1694,0.64489,4.6302,3.495,6.1341,0.7419,0.95909,0.11211,0.056893
56,0.72934,0.087467,0.1,10,2.4177e-09,0.62803,0.89028,0.36579,4.6302,3.495,6.1341,0.93625,0.95909,0.11211,0.056893
57,0.72299,0.087467,0.24622,8.4861,2.849e-09,0.90714,1.1694,0.64489,4.6302,4.0063,5.3513,0.7419,0.95909,0.11211,0.051669
58,0.81664,0.087467,0.1,10,1.1227e-09,0.90714,1.1694,0.64489,4.6302,3.495,6.1341,0.63918,0.95909,0.13086,0.056893
59,0.8015,0.087467,0.1,8.5959,2.8126e-09,0.90714,2.4303,-0.61601,4.6302,3.0371,7.0591,0.7419,0.95909,0.11211,0.056893
60,0.84919,0.087467,0.1,6.9596,1.5361e-07,0.90714,1.1694,0.64489,4.6302,3.495,6.1341,0.7419,0.95909,0.11211,0.043341
61,0.85079,0.087467,0.1,10,2.4177e-09,0.9263,1.1885,0.66406,4.6302,3.9016,5.4948,0.7419,0.67743,0.11211,0.056893
62,0.79836,0.087467,0.1,10,2.4177e-09,0.90714,1.1694,0.64489,4.6302,3.4744,6.1705,0.5948,0.95909,0.11211,0.056893
63,0.79032,0.087467,0.1,10,2.4177e-09,0.90714,0.93499,0.87928,4.6302,3.495,6.1341,0.87037,0.95909,0.11211,0.056893
64,0.84484,0.10389,0.1,10,2.4177e-09,0.90714,1.1694,0.64489,4.6302,3.495,6.1341,0.7419,0.95909,0.11211,0.056893
65,0.83898,0.087467,0.1,9.6983,2.4929e-09,0.90714,1.5834,0.23088,4.6302,3.495,6.1341,0.78709,0.95909,0.11211,0.056893
66,0.72023,0.067654,0.1,10,1.8569e-09,0.44926,0.7115,0.18701,3,1.957,4.5989,0.5,0.95909,0.11211,0.056893
67,0.85109,0.087467,0.1,9.4916,2.5472e-09,0.90714,1.1694,0.64489,4.6302,3.495,6.1341,0.7419,0.95909,0.11211,0.056893
68,0.85612,0.087467,0.1,10,2.4177e-09,0.90714,1.1694,0.64489,4.6302,3.495,6.1341,0.7419,0.95909,0.11211,0.047995
69,0.84875,0.087467,0.1,7.7328,1.2932e-09,0.90714,1.1694,0.64489,4.6302,3.495,6.1341,0.7419,0.61339,0.11211,0.047995
70,0.85404,0.087467,0.1,10,2.4177e-09,0.90714,1.1694,0.64489,4.6302,3.53,6.0733,0.76409,0.72834,0.11211,0.047995
71,0.84936,0.08802,0.1,7.6596,3.1564e-09,0.90714,1.1694,0.64489,4.6302,3.4278,6.2544,0.72677,0.95909,0.15493,0.045347
